DATE,BALANCE
2018-12-16,18295.270000000033
2018-12-17,18295.270000000033
2018-12-18,17736.40000000003
2018-12-19,22664.28000000003
2018-12-20,22639.28000000003
2018-12-21,33432.50000000003
2018-12-22,32355.420000000027
2018-12-23,32355.420000000027
2018-12-24,32355.420000000027
2018-12-25,31713.27000000003
2018-12-26,31713.27000000003
2018-12-27,31703.280000000028
2018-12-28,27755.00000000003
2018-12-29,27568.89000000003
2018-12-30,27568.89000000003
2018-12-31,27568.89000000003
2019-01-01,19110.630000000034
2019-01-02,19110.630000000034
2019-01-03,17660.61000000003
2019-01-04,20026.54000000003
2019-01-05,19426.340000000033
2019-01-06,19426.340000000033
2019-01-07,19426.340000000033
2019-01-08,19344.35000000003
2019-01-09,19338.35000000003
2019-01-10,19338.35000000003
2019-01-11,19248.820000000032
2019-01-12,18951.090000000033
2019-01-13,18951.090000000033
2019-01-14,18951.090000000033
2019-01-15,18590.33000000003
2019-01-16,18379.450000000033
2019-01-17,18239.700000000033
2019-01-18,17866.040000000034
2019-01-19,17746.040000000034
2019-01-20,17746.040000000034
2019-01-21,17746.040000000034
2019-01-22,20191.800000000032
2019-01-23,19938.880000000034
2019-01-24,19938.880000000034
2019-01-25,24743.450000000033
2019-01-26,24893.450000000033
2019-01-27,24893.450000000033
2019-01-28,24893.450000000033
2019-01-29,24891.880000000034
2019-01-30,21891.880000000034
2019-01-31,21891.880000000034
2019-02-01,20757.220000000034
2019-02-02,20317.78000000003
2019-02-03,20317.78000000003
2019-02-04,20317.78000000003
2019-02-05,18877.44000000003
2019-02-06,18395.040000000034
2019-02-07,18342.100000000035
2019-02-08,18342.100000000035
2019-02-09,18927.730000000032
2019-02-10,18927.730000000032
2019-02-11,18927.730000000032
2019-02-12,18891.19000000003
2019-02-13,18871.19000000003
2019-02-14,53079.93000000004
2019-02-15,53079.93000000004
2019-02-16,52775.66000000003
2019-02-17,52775.66000000003
2019-02-18,52775.66000000003
2019-02-19,51912.130000000034
2019-02-20,51912.130000000034
2019-02-21,51873.460000000036
2019-02-22,51509.460000000036
2019-02-23,56348.16000000003
2019-02-24,56348.16000000003
2019-02-25,56348.16000000003
2019-02-26,55308.16000000003
2019-02-27,54868.16000000003
2019-02-28,54868.16000000003
2019-03-01,51654.58000000003
2019-03-02,48151.80000000003
2019-03-03,48151.80000000003
2019-03-04,48151.80000000003
2019-03-05,49224.16000000003
2019-03-06,49119.16000000003
2019-03-07,48895.55000000003
2019-03-08,48493.15000000004
2019-03-09,44787.15000000004
2019-03-10,44787.15000000004
2019-03-11,44787.15000000004
2019-03-12,44672.30000000003
2019-03-13,45034.380000000034
2019-03-14,44677.55000000003
2019-03-15,44672.75000000004
2019-03-16,43725.640000000036
2019-03-17,43725.640000000036
2019-03-18,43725.640000000036
2019-03-19,41984.11000000004
2019-03-20,41774.52000000003
2019-03-21,41762.52000000003
2019-03-22,43022.66000000003
2019-03-23,47946.48000000004
2019-03-24,47946.48000000004
2019-03-25,47946.48000000004
2019-03-26,47375.48000000004
2019-03-27,46625.48000000004
2019-03-28,46775.48000000004
2019-03-29,46775.48000000004
2019-03-30,45832.66000000003
2019-03-31,45832.66000000003
2019-04-01,45832.66000000003
2019-04-02,43665.98000000004
2019-04-03,43286.640000000036
2019-04-04,40635.79000000004
2019-04-05,39110.490000000034
2019-04-06,38989.460000000036
2019-04-07,38989.460000000036
2019-04-08,38989.460000000036
2019-04-09,38151.16000000003
2019-04-10,37431.16000000003
2019-04-11,37391.16000000003
2019-04-12,37424.34000000004
2019-04-13,36076.84000000004
2019-04-14,36076.84000000004
2019-04-15,36076.84000000004
2019-04-16,35510.420000000035
2019-04-17,33127.40000000004
2019-04-18,33127.40000000004
2019-04-19,32642.510000000035
2019-04-20,32642.510000000035
2019-04-21,32642.510000000035
2019-04-22,32642.510000000035
2019-04-23,32642.510000000035
2019-04-24,32457.970000000038
2019-04-25,34075.30000000003
2019-04-26,33875.30000000003
2019-04-27,30875.300000000036
2019-04-28,30875.300000000036
2019-04-29,30875.300000000036
2019-04-30,28025.300000000036
2019-05-01,24800.630000000034
2019-05-02,24800.630000000034
2019-05-03,24680.890000000036
2019-05-04,23879.420000000035
2019-05-05,23879.420000000035
2019-05-06,23879.420000000035
2019-05-07,22989.530000000035
2019-05-08,22588.210000000036
2019-05-09,22588.210000000036
2019-05-10,20882.210000000036
2019-05-11,19382.210000000036
2019-05-12,19382.210000000036
2019-05-13,19382.210000000036
2019-05-14,19004.090000000037
2019-05-15,19610.340000000037
